  [INFO] [2016-08-23 16:06:47][org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping]Mapped URL path [/doLogin.*] onto handler 'loginController'
  [INFO] [2016-08-23 16:06:47][org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping]Mapped URL path [/doLogin/] onto handler 'loginController'
  [INFO] [2016-08-23 16:06:47][org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping]Mapped URL path [/index] onto handler 'loginController'
  [INFO] [2016-08-23 16:06:47][org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping]Mapped URL path [/index.*] onto handler 'loginController'
  [INFO] [2016-08-23 16:06:47][org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping]Mapped URL path [/index/] onto handler 'loginController'
  [INFO] [2016-08-23 16:06:47][org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping]Mapped URL path [/simpleLogin] onto handler 'loginController'
  [INFO] [2016-08-23 16:06:47][org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping]Mapped URL path [/simpleLogin.*] onto handler 'loginController'
  [INFO] [2016-08-23 16:06:47][org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping]Mapped URL path [/simpleLogin/] onto handler 'loginController'
  [INFO] [2016-08-23 16:06:47][org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping]Mapped URL path [/toSimplelogin] onto handler 'loginController'
  [INFO] [2016-08-23 16:06:47][org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping]Mapped URL path [/toSimplelogin.*] onto handler 'loginController'
  [INFO] [2016-08-23 16:06:47][org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping]Mapped URL path [/toSimplelogin/] onto handler 'loginController'
  [INFO] [2016-08-23 16:06:47][org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping]Mapped URL path [/admin/menu/getMenuTreeLookup] onto handler 'menu'
  [INFO] [2016-08-23 16:06:47][org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping]Mapped URL path [/admin/menu/getMenuTreeLookup.*] onto handler 'menu'
  [INFO] [2016-08-23 16:06:47][org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping]Mapped URL path [/admin/menu/getMenuTreeLookup/] onto handler 'menu'
  [INFO] [2016-08-23 16:06:47][org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping]Mapped URL path [/admin/menu/findMenuList] onto handler 'menu'
  [INFO] [2016-08-23 16:06:47][org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping]Mapped URL path [/admin/menu/findMenuList.*] onto handler 'menu'
  [INFO] [2016-08-23 16:06:47][org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping]Mapped URL path [/admin/menu/findMenuList/] onto handler 'menu'
  [INFO] [2016-08-23 16:06:47][org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping]Mapped URL path [/admin/menu/newMenu] onto handler 'menu'
  [INFO] [2016-08-23 16:06:47][org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping]Mapped URL path [/admin/menu/newMenu.*] onto handler 'menu'
  [INFO] [2016-08-23 16:06:47][org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping]Mapped URL path [/admin/menu/newMenu/] onto handler 'menu'
  [INFO] [2016-08-23 16:06:47][org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping]Mapped URL path [/admin/menu/saveMenu] onto handler 'menu'
  [INFO] [2016-08-23 16:06:47][org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping]Mapped URL path [/admin/menu/saveMenu.*] onto handler 'menu'
  [INFO] [2016-08-23 16:06:47][org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping]Mapped URL path [/admin/menu/saveMenu/] onto handler 'menu'
  [INFO] [2016-08-23 16:06:47][org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping]Mapped URL path [/admin/menu/editMenu] onto handler 'menu'
  [INFO] [2016-08-23 16:06:47][org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping]Mapped URL path [/admin/menu/editMenu.*] onto handler 'menu'
  [INFO] [2016-08-23 16:06:47][org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping]Mapped URL path [/admin/menu/editMenu/] onto handler 'menu'
  [INFO] [2016-08-23 16:06:47][org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping]Mapped URL path [/admin/menu/modifyMenu] onto handler 'menu'
  [INFO] [2016-08-23 16:06:47][org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping]Mapped URL path [/admin/menu/modifyMenu.*] onto handler 'menu'
  [INFO] [2016-08-23 16:06:47][org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping]Mapped URL path [/admin/menu/modifyMenu/] onto handler 'menu'
  [INFO] [2016-08-23 16:06:47][org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping]Mapped URL path [/admin/menu/removeMenu] onto handler 'menu'
  [INFO] [2016-08-23 16:06:47][org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping]Mapped URL path [/admin/menu/removeMenu.*] onto handler 'menu'
  [INFO] [2016-08-23 16:06:47][org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping]Mapped URL path [/admin/menu/removeMenu/] onto handler 'menu'
  [INFO] [2016-08-23 16:06:47][org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping]Mapped URL path [/admin/role/removeRole] onto handler 'role'
  [INFO] [2016-08-23 16:06:47][org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping]Mapped URL path [/admin/role/removeRole.*] onto handler 'role'
  [INFO] [2016-08-23 16:06:47][org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping]Mapped URL path [/admin/role/removeRole/] onto handler 'role'
  [INFO] [2016-08-23 16:06:47][org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping]Mapped URL path [/admin/role/checkUnique] onto handler 'role'
  [INFO] [2016-08-23 16:06:47][org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping]Mapped URL path [/admin/role/checkUnique.*] onto handler 'role'
  [INFO] [2016-08-23 16:06:47][org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping]Mapped URL path [/admin/role/checkUnique/] onto handler 'role'
  [INFO] [2016-08-23 16:06:47][org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping]Mapped URL path [/admin/role/newRole] onto handler 'role'
  [INFO] [2016-08-23 16:06:47][org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping]Mapped URL path [/admin/role/newRole.*] onto handler 'role'
  [INFO] [2016-08-23 16:06:47][org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping]Mapped URL path [/admin/role/newRole/] onto handler 'role'
  [INFO] [2016-08-23 16:06:47][org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping]Mapped URL path [/admin/role/findRoleList] onto handler 'role'
  [INFO] [2016-08-23 16:06:47][org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping]Mapped URL path [/admin/role/findRoleList.*] onto handler 'role'
  [INFO] [2016-08-23 16:06:47][org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping]Mapped URL path [/admin/role/findRoleList/] onto handler 'role'
  [INFO] [2016-08-23 16:06:47][org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping]Mapped URL path [/admin/role/saveRole] onto handler 'role'
  [INFO] [2016-08-23 16:06:47][org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping]Mapped URL path [/admin/role/saveRole.*] onto handler 'role'
  [INFO] [2016-08-23 16:06:47][org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping]Mapped URL path [/admin/role/saveRole/] onto handler 'role'
  [INFO] [2016-08-23 16:06:47][org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping]Mapped URL path [/admin/role/editRole] onto handler 'role'
  [INFO] [2016-08-23 16:06:47][org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping]Mapped URL path [/admin/role/editRole.*] onto handler 'role'
  [INFO] [2016-08-23 16:06:47][org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping]Mapped URL path [/admin/role/editRole/] onto handler 'role'
  [INFO] [2016-08-23 16:06:47][org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping]Mapped URL path [/admin/role/modifyRole] onto handler 'role'
  [INFO] [2016-08-23 16:06:47][org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping]Mapped URL path [/admin/role/modifyRole.*] onto handler 'role'
  [INFO] [2016-08-23 16:06:47][org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping]Mapped URL path [/admin/role/modifyRole/] onto handler 'role'
  [INFO] [2016-08-23 16:06:47][org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping]Mapped URL path [/admin/user/editPassword] onto handler 'userController'
  [INFO] [2016-08-23 16:06:47][org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping]Mapped URL path [/admin/user/editPassword.*] onto handler 'userController'
  [INFO] [2016-08-23 16:06:47][org.springframework.web.servlet.mvc.annotation.DefaultAnnotationHandlerMapping]Mapped URL path [/admin/user/editPassword/] onto handler 'userController'
